"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough","% Attendance","% Chronically Absent","Year"
"1","01M015","P.S. 015 Roberto Clemente",190,0.89,0.479,0.274,0.032,0.258,0.847,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan","93.8","19.0","2017-18"
"2","01M019","P.S. 019 Asher Levy",257,0.679,0.556,0.191,0.062,0.35,0.77,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,2,3,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","91.4","34.6","2017-18"
"3","01M020","P.S. 020 Anna Silver",497,0.8,0.509,0.103,0.032,0.237,0.736,0,0,0,0,0,0,3,3,3,1,2,0,0,0,3,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","92.4","29.4","2017-18"
"4","01M034","P.S. 034 Franklin D. Roosevelt",333,0.937,0.55,0.318,0.027,0.372,0.979,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","89.8","40.5","2017-18"
"5","01M063","The STAR Academy - P.S.63",203,0.762,0.507,0.182,0.118,0.33,0.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","92.3","28.4","2017-18"
"6","01M064","P.S. 064 Robert Simon",245,0.882,0.588,0.208,0.053,0.298,0.922,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","89.6","42.7","2017-18"
"7","01M110","P.S. 110 Florence Nightingale",379,0.58,0.562,0.098,0.261,0.127,0.625,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan","94.2","18.6","2017-18"
"8","01M134","P.S. 134 Henrietta Szold",297,0.901,0.559,0.215,0.037,0.418,0.919,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","89.7","43.7","2017-18"
"9","01M140","P.S. 140 Nathan Straus",371,0.913,0.509,0.124,0.027,0.329,0.884,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,"K to 8","SC","Manhattan","89.3","45.6","2017-18"
"10","01M142","P.S. 142 Amalia Castro",340,0.911,0.553,0.126,0.003,0.374,0.976,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,2,2,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","91.7","30.8","2017-18"
"11","01M184","P.S. 184m Shuang Wen",684,0.653,0.501,0.037,0.073,0.165,0.68,0,0,0,0,0,0,2,0,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","97.5","4.9","2017-18"
"12","01M188","P.S. 188 The Island School",433,0.954,0.573,0.293,0.028,0.312,0.921,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,"K to 8","SC","Manhattan","88.9","44.6","2017-18"
"13","01M315","The East Village Community School",318,0.369,0.494,0.053,0.575,0.176,0.27,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","94.6","14.8","2017-18"
"14","01M332","University Neighborhood Middle School",203,0.848,0.567,0.232,0.039,0.438,0.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan","91.0","28.2","2017-18"
"15","01M361","The Children's Workshop School",315,0.505,0.537,0.092,0.352,0.232,0.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","92.1","24.6","2017-18"
"16","01M363","Neighborhood School",304,0.478,0.51,0.092,0.461,0.227,0.438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","93.3","21.6","2017-18"
"17","01M364","Earth School",355,0.554,0.546,0.113,0.341,0.29,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","93.4","24.0","2017-18"
"18","01M378","School for Global Leaders",256,0.853,0.566,0.273,0.016,0.391,0.828,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan","89.1","38.4","2017-18"
"19","01M450","East Side Community School",683,0.629,0.536,0.165,0.146,0.266,0.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan","95.4","11.6","2017-18"
"20","01M539","New Explorations into Science, Technology and Math",1734,0.282,0.521,0.077,0.399,0.081,0.239,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,4,3,4,4,4,0,0,0,0,0,0,1,0,0,1,0,"Middle","GT","Manhattan","96.1","7.4","2017-18"
"21","01M839","Tompkins Square Middle School",373,0.68,0.469,0.137,0.209,0.276,0.694,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","95.5","11.4","2017-18"
"22","02M001","P.S. 001 Alfred E. Smith",318,0.843,0.503,0.176,0.019,0.283,0.808,0,0,0,0,0,0,3,1,1,1,2,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","94.1","21.3","2017-18"
"23","02M002","P.S. 002 Meyer London",552,0.91,0.527,0.053,0.009,0.228,0.966,0,0,0,0,0,0,2,2,2,3,3,0,0,0,2,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","96.7","10.8","2017-18"
"24","02M003","P.S. 003 Charrette School",753,0.202,0.51,0.057,0.667,0.208,0.219,0,0,0,0,0,0,3,0,0,1,2,0,0,0,5,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","94.1","16.4","2017-18"
"25","02M006","P.S. 006 Lillie D. Blake",694,0.124,0.51,0.024,0.745,0.17,0.12,0,0,0,0,0,0,4,2,2,3,3,0,0,0,3,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.6","8.8","2017-18"
"26","02M011","P.S. 011 William T. Harris",923,0.344,0.498,0.062,0.473,0.148,0.3,2,2,2,2,3,2,3,3,2,3,2,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan","95.2","11.6","2017-18"
"27","02M033","P.S. 033 Chelsea Prep",650,0.499,0.474,0.18,0.229,0.155,0.482,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan","93.1","26.3","2017-18"
"28","02M040","P.S. 040 Augustus Saint-Gaudens",673,0.164,0.486,0.015,0.617,0.174,0.1,0,0,0,0,0,0,4,2,2,2,2,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","96.0","6.5","2017-18"
"29","02M041","P.S. 041 Greenwich Village",694,0.078,0.458,0.013,0.69,0.156,0.094,0,0,0,0,0,0,3,3,2,3,3,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","96.2","5.3","2017-18"
"30","02M042","P.S. 042 Benjamin Altman",653,0.824,0.53,0.014,0.025,0.172,0.763,0,0,0,0,0,0,2,2,2,2,3,0,0,0,3,2,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","97.2","6.7","2017-18"
"31","02M051","P.S. 051 Elias Howe",453,0.602,0.488,0.159,0.179,0.227,0.594,0,0,0,0,0,0,2,1,1,1,1,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","91.2","33.5","2017-18"
"32","02M059","P.S. 059 Beekman Hill International",614,0.087,0.49,0.013,0.614,0.166,0.094,0,0,0,0,0,0,3,3,3,1,2,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.9","7.0","2017-18"
"33","02M077","P.S. 77 Lower Lab School",358,0.097,0.514,0.003,0.506,0.101,0.056,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"gifted","GT","Manhattan","96.7","3.1","2017-18"
"34","02M089","P.S. 89",433,0.074,0.51,0.016,0.589,0.159,0.201,0,0,0,0,0,0,2,1,1,1,2,0,0,0,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.9","5.6","2017-18"
"35","02M104","J.H.S. 104 Simon Baruch",1134,0.426,0.534,0.075,0.347,0.175,0.451,0,0,0,0,0,0,0,0,0,0,0,9,8,8,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan","96.2","9.0","2017-18"
"36","02M111","P.S. 111 Adolph S. Ochs",395,0.629,0.552,0.149,0.17,0.215,0.623,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan","90.7","34.8","2017-18"
"37","02M114","East Side Middle School",450,0.11,0.451,0.036,0.676,0.158,0.111,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","97.6","2.0","2017-18"
"38","02M116","P.S. 116 Mary Lindley Murray",539,0.353,0.494,0.117,0.404,0.178,0.364,0,0,0,0,0,0,2,2,2,2,3,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","94.5","14.5","2017-18"
"39","02M124","P.S. 124 Yung Wing",724,0.658,0.51,0,0.017,0.131,0.564,1,1,1,1,1,1,2,2,2,2,3,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan","98.1","2.6","2017-18"
"40","02M126","P.S. 126 Jacob August Riis",784,0.78,0.54,0.093,0.079,0.194,0.8,0,0,0,0,0,0,1,1,2,2,2,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","96.6","10.9","2017-18"
"41","02M130","P.S. 130 Hernando De Soto",913,0.605,0.522,0.01,0.033,0.143,0.484,1,1,1,2,1,1,3,3,4,3,4,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Manhattan","97.9","3.0","2017-18"
"42","02M131","M.S. 131",436,0.857,0.567,0.06,0.018,0.255,0.936,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan","97.6","7.5","2017-18"
"43","02M150","P.S. 150",187,0.147,0.529,0.011,0.583,0.139,0.128,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.6","6.9","2017-18"
"44","02M151","Yorkville Community School",515,0.402,0.513,0.151,0.495,0.183,0.433,0,0,0,0,0,0,2,1,0,1,1,0,0,0,2,2,2,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","93.4","21.4","2017-18"
"45","02M158","P.S. 158 Bayard Taylor",793,0.11,0.521,0.028,0.72,0.16,0.122,0,0,0,0,0,0,3,2,2,2,2,0,0,0,5,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.2","8.5","2017-18"
"46","02M167","J.H.S. 167 Robert F. Wagner",1336,0.298,0.527,0.06,0.521,0.17,0.314,0,0,0,0,0,0,0,0,0,0,0,11,10,9,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","96.1","9.3","2017-18"
"47","02M177","Yorkville East Middle School",233,0.328,0.502,0.12,0.494,0.262,0.352,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","95.3","9.7","2017-18"
"48","02M183","P.S. 183 Robert L. Stevenson",588,0.059,0.514,0.024,0.68,0.163,0.111,0,0,0,0,0,0,3,2,2,2,2,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","96.0","5.5","2017-18"
"49","02M198","P.S. 198 Isador E. Ida Straus",461,0.362,0.523,0.1,0.427,0.234,0.39,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan","94.8","13.8","2017-18"
"50","02M212","P.S. 212 Midtown West",366,0.26,0.495,0.063,0.467,0.115,0.232,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.0","10.7","2017-18"
"51","02M217","P.S./I.S. 217 Roosevelt Island",616,0.28,0.49,0.114,0.385,0.135,0.343,1,1,1,2,1,1,2,2,2,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,"K to 8","SC and GT","Manhattan","95.0","12.4","2017-18"
"52","02M225","Ella Baker School",320,0.344,0.503,0.166,0.372,0.231,0.341,0,0,0,0,0,0,2,2,2,2,0,1,0,0,1,1,1,1,1,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","93.3","20.2","2017-18"
"53","02M234","P.S. 234 Independence School",642,0.089,0.505,0.014,0.721,0.168,0.1,0,0,0,0,0,0,2,4,2,3,2,0,0,0,4,2,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.8","7.6","2017-18"
"54","02M255","M.S. 255 Salk School of Science",386,0.146,0.42,0.018,0.614,0.168,0.106,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","97.2","1.3","2017-18"
"55","02M260","The Clinton School",604,0.204,0.318,0.046,0.641,0.167,0.142,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","96.4","4.3","2017-18"
"56","02M267","East Side Elementary School, PS 267",398,0.077,0.492,0.005,0.744,0.161,0.111,0,0,0,0,0,0,2,2,1,1,1,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.2","9.6","2017-18"
"57","02M276","Battery Park City School",827,0.149,0.522,0.041,0.541,0.192,0.135,0,0,0,0,0,0,1,2,1,1,3,1,1,1,3,3,1,2,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","95.6","9.1","2017-18"
"58","02M281","The River School",272,0.184,0.504,0.085,0.434,0.151,0.276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.3","12.9","2017-18"
"59","02M289","I.S. 289",283,0.461,0.527,0.039,0.385,0.233,0.502,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","96.7","6.3","2017-18"
"60","02M290","P.S. 290 Manhattan New School",631,0.106,0.474,0.022,0.719,0.155,0.117,0,0,0,0,0,0,2,3,2,3,2,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.6","9.4","2017-18"
"61","02M297","M.S. 297",193,0.293,0.482,0.093,0.601,0.218,0.306,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","95.6","10.4","2017-18"
"62","02M312","New York City Lab Middle School for Collaborative",554,0.384,0.587,0.02,0.3,0.164,0.388,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","98.0","2.5","2017-18"
"63","02M340","Sixth Avenue Elementary School",277,0.138,0.473,0.036,0.643,0.173,0.101,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","94.8","11.8","2017-18"
"64","02M343","The Peck Slip School",441,0.107,0.481,0.045,0.524,0.193,0.098,0,0,0,0,0,0,2,2,1,1,1,0,0,0,3,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.7","8.2","2017-18"
"65","02M347","The 47 American Sign Language & English Lower Scho",197,0.686,0.482,0.198,0.254,0.543,0.624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","91.4","33.3","2017-18"
"66","02M397","Spruce Street School",539,0.137,0.51,0.033,0.551,0.174,0.135,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","95.3","11.1","2017-18"
"67","02M407","Institute for Collaborative Education",492,0.331,0.533,0.191,0.52,0.118,0.262,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","93.7","11.9","2017-18"
"68","02M408","Professional Performing Arts High School",565,0.389,0.251,0.212,0.427,0.149,0.379,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","92.9","18.8","2017-18"
"69","02M413","School of the Future High School",750,0.42,0.523,0.111,0.364,0.217,0.399,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","94.9","12.3","2017-18"
"70","02M422","Quest to Learn",586,0.629,0.631,0.22,0.203,0.304,0.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","90.5","28.9","2017-18"
"71","02M442","Ballet Tech, NYC Public School for Dance",141,0.451,0.504,0.191,0.22,0.05,0.56,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","96.5","2.7","2017-18"
"72","02M527","P.S. 527 - East Side School for Social Action",387,0.179,0.499,0.039,0.558,0.16,0.171,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.5","9.0","2017-18"
"73","02M655","Life Sciences Secondary School",574,0.855,0.488,0.291,0.033,0.216,0.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","80.4","55.9","2017-18"
"74","02M896","Lower Manhattan Community Middle School",385,0.586,0.473,0.109,0.275,0.286,0.592,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","96.8","5.7","2017-18"
"75","02M933","City Knoll Middle School",236,0.702,0.5,0.254,0.097,0.301,0.758,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Manhattan","91.0","34.7","2017-18"
"76","03M009","P.S. 009 Sarah Anderson",619,0.196,0.507,0.048,0.601,0.184,0.215,0,0,0,0,0,0,3,3,2,3,1,0,0,0,3,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.5","9.2","2017-18"
"77","03M054","J.H.S. 054 Booker T. Washington",852,0.219,0.504,0.086,0.577,0.117,0.237,0,0,0,0,0,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Manhattan","96.5","5.0","2017-18"
"78","03M075","P.S. 075 Emily Dickinson",560,0.688,0.541,0.214,0.143,0.4,0.736,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,3,4,4,5,3,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","93.1","22.3","2017-18"
"79","03M076","P.S. 076 A. Philip Randolph",472,0.919,0.477,0.752,0.028,0.248,0.966,0,0,0,0,0,0,2,2,0,0,1,0,1,2,1,0,0,2,2,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,"K to 8","SC","Manhattan","87.9","50.8","2017-18"
"80","03M084","P.S. 084 Lillian Weber",656,0.44,0.447,0.081,0.476,0.146,0.405,0,0,0,0,0,0,3,3,3,3,2,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","93.6","21.5","2017-18"
"81","03M087","P.S. 087 William Sherman",877,0.12,0.496,0.04,0.645,0.201,0.116,0,0,0,0,0,0,4,3,3,2,2,0,0,0,4,2,3,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Manhattan","95.9","6.5","2017-18"
"82","03M145","P.S. 145, The Bloomingdale School",391,0.851,0.476,0.256,0.102,0.256,0.821,0,0,0,0,0,0,2,2,1,1,1,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","89.5","40.8","2017-18"
"83","03M149","P.S. 149 Sojourner Truth",235,0.934,0.498,0.621,0.051,0.247,0.991,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,"K to 8","SC","Manhattan","92.5","29.4","2017-18"
"84","03M163","P.S. 163 Alfred E. Smith",565,0.509,0.513,0.163,0.306,0.188,0.487,1,1,1,1,1,1,2,1,2,2,2,0,0,0,2,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan","93.5","22.1","2017-18"
"85","03M165","P.S. 165 Robert E. Simon",604,0.711,0.513,0.149,0.182,0.22,0.725,1,1,1,1,1,1,1,2,2,3,2,0,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,"K to 8","SC and GT","Manhattan","90.7","37.2","2017-18"
"86","03M166","P.S. 166 The Richard Rodgers School of The Arts an",648,0.187,0.515,0.052,0.571,0.114,0.205,2,2,2,2,2,2,2,2,1,1,1,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Elementary","GT","Manhattan","95.9","5.6","2017-18"
"87","03M180","P.S. 180 Hugo Newman",545,0.707,0.505,0.516,0.108,0.165,0.727,0,0,0,0,0,0,2,2,2,2,2,1,1,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Manhattan","91.8","25.7","2017-18"
"88","03M185","The Locke School of Arts and Engineering",252,0.829,0.567,0.571,0.063,0.183,0.853,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"Elementary","SC","Manhattan","91.7","33.7","2017-18"
